" and above."," i powyżej."
"# of Use","ilość użyć"
"# of Uses","ilość użyć"
"%s Tax Classes","%s klas podatku"
"%s Tax Classes Title","%s tytuł klasy podatku"
"&copy; Copyright 2007 Varien. Magento is a trademark of Irubin Consulting Inc","&copy; Copyright 2007 <a href=""http://www.varien.com"" target=""varien-external"">Varien</a>. Magento is a trademark of Irubin Consulting Inc"
"(Copy data from: %s)","(Kopiuj dane z: %s)"
"(eg: domain.com/identifier)","(np: domena.com/identyfikator)"
"(Will make search for the query above return results for this search.)","(Pozwoli zwrócić wyniki wyszukiwania dla tego synonimu)"
"1 star","1 gwiazdka"
"2 stars","2 gwiazdki"
"3 stars","3 gwiazdki"
"4 stars","4 gwiazdki"
"5 stars","5 gwiazdek"
"A name is required","Nazwa jest wymagana"
"Account Created in: %s","<strong>Konto założone w :</strong> %s"
"Account Created on: %s","<strong>Konto utworzone:</strong> %s"
"Account Information","Informacje o koncie"
"Account status","Status konta"
"Account successfully saved","Konto zostało zapisane"
Action,Akcja
Actions,Akcje
Active,Aktywny
Add,Dodaj
"Add Answer","Dodaj odpowiedź"
"Add Attribute","Dodaj cechę"
"Add Group","Dodaj grupę"
"Add New","Dodaj nowy"
"Add New Address","Dodaj nowy adres"
"Add New Answer","Dodaj nowe pytanie"
"Add New Attribute","Dodaj nową cechę"
"Add New Attribute Set","Nowy zestaw cech produktów"
"Add New Block","Dodaj nowy blok"
"Add New Category","Dodaj nową kategorię"
"Add New Class","Dodaj nową klasę"
"Add New Customer","Dodaj nowego klienta"
"Add New Customer Group","Dodaj nową grupę klientów"
"Add New Group","Dodaj nową grupę"
"Add New Image","Dodaj nowe zdjęcie"
"Add New Page","Dodaj nową stronę"
"Add New Poll","Dodaj nową ankietę"
"Add New Rating","Dodaj nową ocenę"
"Add New Review","Dodaj nową recenzję"
"Add new Role"," Dodaj nową grupę uprawnień"
"Add New Role","Dodaj nową grupę uprawnień"
"Add New Rule","Dodaj nową regułę"
"Add New Search","Dodaj nowe wyszukiwanie"
"Add New Set","Dodaj nowy zestaw"
"Add New Tag","Dodaj nowy tag"
"Add New Tax Rate","Dodaj nową stawkę podatku"
"Add New Tax Rule","Dodaj nową regułę dla podatku"
"Add New Template","Dodaj nowy szablon"
"Add New User","Dodaj użytkownika"
"Add Option","Dodaj opcję"
"Add Product","Dodaj produkt"
"Add Selected Product to Order","Dodaj zaznaczone produkty do zamówienia"
"Add Tier","Dodaj poziom"
"Add to Order","Dodaj do zamówienia"
"Add to Queue","Dodaj do kolejki"
"Add User to Role","Dodaj użytkownika do grupy"
Added,Dodany
"Added From","Dodano z"
Addresses,Adresy
"Advanced Conditions","Zaawansowane warunki"
All,Wszystkie
"All countries","Wszystkie państwa"
"All Products","Wszystkie produkty"
"All rates were imported","Wszystkie stawki zostały zaimportowane"
"All Reviews","Wszystkie recenzje"
"All stores","Wszystkie sklepy"
"All Stores","Wszystkie sklepy"
"All Tags","Wszystkie tagi"
"All tags","Wszystkie tagi"
"All types","Wszystkie rodzaje"
"Answer Title","Tytuł odpowiedzi"
"Answer Title:","Tytuł odpowiedzi:"
"Answer was successfully saved","Odpowiedź została zapisana"
Any,Jakikolwiek
Apply,Zastosuj
"Apply Coupon Code","Zastosuj kod kuponu"
"Apply Rules",Zastosuj
"Apply To","Zastosuj do"
"Apply To Configurable/Grouped Product","Zastosuj dla konfigurowalnych / grupowanych produktów"
Approved,Zaakceptowane
"Are you sure that you want to delete this tag?","Czy na pewno chcesz usunąć ten tag?"
"Are you sure that you want to delete this template?","Czy na pewno chcesz usunąć ten szablon?"
"Are you sure that you want to remove this item?","Czy na pewno chcesz usunąć produkt?"
"Are you sure that you want to strip all tags?","Czy na pewno chcesz usunąć znaczniki?"
"Are you sure that you want to strip tags?","Czy na pewno chcesz usunąć znaczniki?"
"Are you sure the you want to remove this item?","Czy na pewno chcesz usunąć ten produkt?"
"Are you sure you want to cancel adding of this address?","Czy na pewno chcesz anulować dodawanie tego adresu?"
"Are you sure you want to cancel this order?","Czy na pewno chcesz anulować to zamówienie?"
"Are you sure you want to delete it?","Czy na pewno skasować?"
