"&laquo; Back to Billing Information","&laquo; Wróć do danych płatnika"
"&laquo; Back to Select Addresses","&laquo; Wróć aby wybrać adresy"
"&laquo; Back to Shipping Information","&laquo; Wróć do wyboru formy dostawy"
"&laquo; Back to Shopping Cart","&laquo; Wróć do koszyka"
"* Required Fields","* Pola wymagane"
"Add New Address","Dodaj nowy adres"
"Add to Cart","Do koszyka"
"Add to Wishlist","Dodaj do listy życzeń"
Address,Adres
"Address %s of %s","Adres <span class=""shipment-count"">%s</span> z %s"
"Already registered?","Czy już jesteś zarejestrowany?"
"Apply Coupon","Użyj kuponu"
"Are you sure you would like to remove this item from the shopping cart?","Czy na pewno chcesz usunąć ten produkt z koszyka?"
Back,Powrót
"Based on your selection, you may be interested in the following items:","Bazując na wybranych przez ciebie produktach, chcemy zaproponować ci również:"
"Billing Address","Adres płatnika"
"Billing Information","Informacje o płatności"
"Cannot move item to wishlist","Nie można przenieść produktu do listy życzeń"
"Cannot remove item","Nie można usunąć produktu"
"Cannot update shopping cart","Nie można zaktualizować koszyka"
"Card Verification Number Visual Reference","Kod CVV2"
"Change Billing Address","Zmień adres płatnika"
"Change Payment Method","Zmień formę płatności"
"Change Shipping Address","Zmień adres dostawy"
"Change Shipping Method","Zmień formę wysyłki"
Checkout,Zamówienie
"Checkout as a Guest or Register","Złóż zamówienie bez rejestracji lub załóż konto w sklepie"
"Checkout as Guest","Złóż zamówienie bez rejestracji"
"Checkout method","Metoda dostawy"
"Checkout with Multiple Addresses","Zamówienie z wieloma adresami"
City,Miasto
Clear,Wyczyść
Close,Zamknij
Company,Firma
"Confirm Password","Potwierdź hasło"
Continue,Kontynuuj
"Continue Shopping","Kontynuuj zakupy"
"Continue to Billing Information","Przejdź dalej do szczegółów płatności"
"Continue to Overview","Przejdź dalej aby potwierdzić szczegóły"
"Continue to Review Your Order","Kontynuuj aby potwierdzić dane zamówienia"
"Continue to Shipping Information","Przejdź do informacji o dostawie"
"Continue to Success","Kontynuuj aby potwierdzić"
Country,Państwo
"Create Billing Address","Utwórz adres płatnika"
"Create Shipping Address","Utwórz adres dostawy"
"Default Billing","Domyślny adres płatnika"
"Default Shipping","Domyślny adres dostawy"
"Discount Codes","Kody zniżkowe"
Done,Zrobione
"Easy access to your order history and status","Szybki dostęp do statusów i historii zamówień"
Edit,Edycja
"Edit Address","Edycja adresu"
"Edit Billing Address","Edycja adresu płatnika"
"Edit Items","Edytuj produkty"
"Edit Shipping Address","Edytuj adres wysyłki"
"Edit Your Cart","Edytuj koszyk"
"Email Address","Adres email"
"Enter a New Address","Dodaj nowy adres"
"Enter your coupon code if you have the one.","Wpisz kod kuponu rabatowego jeżeli jesteś w jego posiadaniu."
"Enter your destination to get a shipping estimate.","Wpisz miejsce docelowe dla paczki aby uzyskać przybliżoną informację o kosztach wysyłki."
"Estimate Shipping and Tax","Wylicz przybliżone koszty dostawy i podatek"
"Fast and easy check out","Szybszy proces zamawiania"
Fax,Fax
"First Name",Imię
"Forgot an Item?","Zapomniałeś dodać produkt?"
"Forgot your password?","Zapomniałeś hasła?"
"Get a Quote","Otrzymaj wycenę"
"Go to Cart","Przejdź do koszyka"
"Grand Total:","Suma zamówienia:"
"Indefinite product type","Niezdefiniowany typ produktu"
"Invalid data","Nieprawidłowe dane"
Items,Produkty
"Last added items","Ostatnio dodane produkty"
"Last Name",Nazwisko
"Loading next step...","Ładowanie kolejnego kroku..."
"Log in below to take advantage of Express Checkout:","Zaloguj się poniżej aby szybciej złożyć zamówienie"
Login,Logowanie
"Move to Wishlist","Przenieś do listy życzeń"
"My Account","Twoje konto"
"My Cart",Koszyk
"My Cart (%d item)","Koszyk (produktów: %d)"
"My Cart (%d items)","Koszyk produktów: %d)"
"My Cart - <a href=""%s"">%d item(s)</a>","Koszyk <span class=""count"">- <a href=""%s"">%d produkt(ów)</a></span>"
"Order Review","Podgląd zamówienia"
"Order Success","Zamówienie zostało przyjęte"
Password,Hasło
"Payment Information","Informacje o płatności"
"Payment Method","Forma płatności"
"Payment method is not defined","Forma płatności nie została wybrana"
"Place Order","Złóż zamówienie"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Kontynuuj zakupy</a>."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Wpisz poprawny kod pocztowy np.00-020"
"Please select region, state or province","Wybierz województwo"
"Please select shipping methods for all addresses","Wybierz metody wysyłki dla adresów"
"Please specify the product option(s)","Wybierz opcje dla produktu"
Price,Cena
"Proceed to Checkout","Złóż zamówienie"
