"* Required Fields","* Pola wymagane"
"A new password was sent","Nowe hasło zostało wysłane"
"Account Information","Dane konta"
"Account information was successfully saved","Zmiany w danych konta zostały zachowane."
"Add New Address","Dodaj nowy adres"
"Additional Address Entries","Dodatkowe adresy"
Address,Adres
"Address Book","Książka adresowa"
"Address Information","Informacje o adresie"
Addresses,Adresy
Admin,Administrator
"Are you sure you want to delete this address?","Czy na pewno chcesz usunąć ten adres?"
Back,Powrót
"Back to Login","Wróć do logowania"
Balance,Stan
"Billing Information","Informacje o płatności"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Tworząc konto w sklepie będziesz mógł szybciej składać zamówienia, śledzić statusy zamówień, korzystać z wielu adresów oraz wielu innych opcji."
"Cannot delete customer","Nie można usunąć klienta"
"Change Account Password","Zmień hasło do konta"
"Change Billing Address","Zmień adres płatnika"
"Change Password","Zmień hasło"
"Change Shipping Address","Zmień adres dostawy"
City,Miasto
Company,Firma
"Confirm New Password","Potwierdź nowe hasło"
"Confirm Password","Potwierdź hasło"
"Contact Information","Dane kontaktowe"
"Continue Shopping","Kontynuuj zakupy"
Country,Państwo
"Create Account","Create Account"
"Create an Account","Utwórz konto"
"Create In","Stwórz w "
"Create New Customer Account","Utwórz nowe konto klienta"
"Created From","Utworzono z"
"Current customer password is empty","Klient nie posiada hasła"
"Current Password","Aktualne hasło"
"Customer email already exists","Taki klient już istnieje"
"Customer Group","Grupa Klientów"
"Customer group already exists.","Grupa klientów już istnieje"
Date,Data
"Default Addresses","Domyślne adresy"
"Default Billing Address","Domyślny adres płatnika"
"Default Shipping Address","Domyślny adres dostawy"
"Delete Address","Usuń adres"
Details,Szczegóły
"Edit Account Information","Edytuj dane konta"
"Edit Address","Edytuj adres"
"Edit Address Entry","Edytuj wpis"
"Edit Newsletter Subscription","Edycja danych subskrybcji newslettera"
"Edit Newsletters","Edycja ustawień newslettera"
"Edit Personal Information","Edytuj dane personalne"
Email,Email
"Email Address","Adres email"
"Error during customer deletion","Błąd podczas kasowania klienta"
"Error during saving customer","Błąd podczas zapisu danych klienta"
"Error during saving customer address","Błąd podczas zapisywania adresu klienta"
"Error during updating the password","Błąd podczas aktualizacji hasła"
"Error while updating the password","Błąd podczas aktualizacji hasła"
"Ext. Price",Cena
Fax,Fax
"First Name",Imię
"Forgot Your Password?","Zapomniałeś hasła ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity. Select a link below to view.","Ze strony głównej konta masz podgląd swoich ostatnich działań. Zobacz je klikając w link"
"General Subscription","Ogólny newsletter"
"Go to Address Book",sowej
"Grand Total: %s","Suma całkowita: <strong>%s</strong>"
"Hello, %s!","Witaj, %s!"
"If you have an account with us, please log in.","Jeżeli posiadasz już konto w naszym sklepie, zaloguj się."
"Invalid current password","Nieprawidłowe hasło"
"Invalid customer ID","Nieproprawne ID klienta"
"Invalid customer ID in the address data","Błędne ID klienta w danych adresowych"
"Invalid login or password","Nieprawidłowy login lub hasło"
"Invalid region for country specified in the address","Nieprawidłowe województwo dla wybranego kraju"
"Items Order","Items Order"
"Last 5 Orders","Ostatnie 5 zamówień"
"Last Name","Last Name"
"Last Viewed Items","Ostatnio oglądane produkty"
Login,Logowanie
"Login Information","Informacje o logowaniu"
"Login or Create an Account","Zaloguj się lub załóż konto"
"Manage Addresses","Zarządzaj adresami"
"My Account","Moje konto"
"My Balance","Stan konta"
"My Orders","Moje zamówienia"
"My Reviews","Twoje recenzje"
"My Tags","Moje tagi"
"My Wishlist","Lista życzeń"
"New Address","Nowy adres"
"New Address Entry","Nowy adres"
"New Customers","Nowi klienci"
"New Password","Nowe hasło"
"New passwords do not match","Nowe hasła się nie zgadzają"
Newsletter,Newsletter
"Newsletter Subscriptions","Subskrybcje newslettera"
Newsletters,Newslettery
"Order #","Zamówienie nr."
"Order #%s (%s)","Zamówienie nr.%s (%s)"
"Order List...","Lista zamówień..."
Password,Hasło
"Password was successfully updated","Hasło zostało zaktualizowane"
