"Attempt to add an invalid object","Attempt to add an invalid object"
"Attribute with the same code","Attribute with the same code"
"Data integrity: No header row found for attribute","Data integrity: No header row found for attribute"
"Default option value is not defined","Default option value is not defined"
"Entity is not initialized","Entity is not initialized"
"Entity's object is not initialized","Entity's object is not initialized"
"Frontend label is not defined","Frontend label is not defined"
"Invalid alias, already exists in joined attributes","Invalid alias, already exists in joined attributes"
"Invalid attribute name: %s","Invalid attribute name: %s"
"Invalid attribute requested: %s","Invalid attribute requested: %s"
"Invalid attribute type","Invalid attribute type"
"Invalid character encountered in increment ID: %s","Invalid character encountered in increment ID: %s"
"Invalid condition","Invalid condition"
"Invalid data object key","Invalid data object key"
"Invalid entity supplied","Invalid entity supplied"
"Invalid entity type","Invalid entity type"
"Invalid entity type %s","Invalid entity type %s"
"Invalid foreign key","Invalid foreign key"
"Invalid object supplied","Invalid object supplied"
"Invalid store id supplied","Invalid store id supplied"
"Joined field with this alias is already declared","Joined field with this alias is already declared"
No,No
"No connection available","No connection available"
"No options root node found","No options root node found"
"Unknown parameter","Unknown parameter"
"Valid store_id is expected!","Valid store_id is expected!"
"Value of attribute ""%s"" must be unique","Value of attribute ""%s"" must be unique"
"Wrong attribute group ID","Wrong attribute group ID"
"Wrong attribute ID","Wrong attribute ID"
"Wrong attribute set ID","Wrong attribute set ID"
"Wrong entity ID","Wrong entity ID"
Yes,Yes
