"Attribute Set","Zestaw cech"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Conditions combination","Warunki dla kombinacji"
"Customer is new buyer: %s","Klient nie składał wcześniej zamówień: %s"
"Customer registered: %s","Klient zarejestrował: %s"
"Description: %s","Opis: %s"
"Expire at: %s","Wygasa: %s"
"Invalid item entity","Nieprawidłowa wartość dla ilości"
"Name: %s","Nazwa: %s"
"Price in cart","Cena w koszyku"
"Product attribute combination","Kombinacja cech produktu"
"Quantity in cart","Ilość w koszyku"
"Row total in cart","Ilość wierszy w koszyku"
"Special price","Cena promocyjna"
"Start at: %s","Rozpoczęcie: %s"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Update the Product","Aktualizuj produkt"
