"Attribute Set","Zestaw cech"
"By Fixed value","O stałą wartość"
"By Percentage","O wartość procentową"
"Conditions Combination","Kombinacja warunków"
"Customer is new buyer: %s","Klient złożył swoje pierwsze zamówienie: %s"
"Customer registered: %s","Customer registered: %s"
"Description: %s","Opis: %s"
"Expire at: %s","Zakończenie: %s"
"Name: %s","Nazwa: %s"
"Product Attribute","Cecha produktu"
"Rule price","Reguła dla ceny"
"Start at: %s","Rozpoczęcie: %s"
"To Fixed Value","Do stałej wartości"
"To Percentage","Do wartości procentowej"
"Update product's %s %s: %s","Aktualizuj produkty %s %s: %s"
"Update the Product","Aktualizuj produkt"
