"American Express","American Express"
April,Kwiecień
August,Sierpień
"Card Type","Typ karty"
"Card Verification Number","Kod CVV2"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Type","Rodzaj karty kredytowej"
December,Grudzień
Discover,Discover
"Expiration Date","Data ważności karty"
February,Luty
January,Styczeń
July,Lipiec
June,Czerwiec
March,Marzec
"Master Card","Master Card"
May,Maj
Month,Miesiąc
"Name on Card","Nazwa na karcie"
November,Listopad
October,Październik
"Please select credit card type","Wybierz rodzaj karty"
"Purchase Order Number","Numer zamówienia"
September,Wrzesień
Visa,Visa
"What is this?","Co to jest?"
Year,Rok
